project	old_path	new_path	title
B&W	assets/img/RDP1919.jpg	assets/img/projects/b-and-w/beach-view.jpg	Beach view
B&W	assets/img/RDP0131.jpg	assets/img/projects/b-and-w/bay-bridge.jpg	Bay Bridge
B&W	assets/img/RDP0333.jpg	assets/img/projects/b-and-w/foggy-trail.jpg	Foggy trail
B&W	assets/img/RDP0336.jpg	assets/img/projects/b-and-w/foggy-trail-2.jpg	Foggy trail
B&W	assets/img/RDP2046.jpg	assets/img/projects/b-and-w/sunset-view-with-egret.jpg	Sunset view with egret
B&W	assets/img/RDP0440.jpg	assets/img/projects/b-and-w/miocene-volcanics-on-top-of-sierra-granitoids.jpg	Miocene volcanics on top of Sierra granitoids
B&W	assets/img/RDP0555.jpg	assets/img/projects/b-and-w/car-wreck.jpg	car wreck
B&W	assets/img/RDP0621.jpg	assets/img/projects/b-and-w/sand-dunes.jpg	sand dunes
B&W	assets/img/RDP0067.jpg	assets/img/projects/b-and-w/rainstorm.jpg	rainstorm
Birding	assets/img/RDP0512.jpg	assets/img/projects/birding/black-kite.jpg	black kite
Birding	assets/img/RDP0507.jpg	assets/img/projects/birding/hummingbird.jpg	hummingbird
Birding	assets/img/RDP0238.jpg	assets/img/projects/birding/hummingbird-2.jpg	hummingbird
Birding	assets/img/RDP0328.jpg	assets/img/projects/birding/hummingbird-3.jpg	hummingbird
Birding	assets/img/RDP0356.jpg	assets/img/projects/birding/hummingbird-4.jpg	hummingbird
Birding	assets/img/RDP0212.jpg	assets/img/projects/birding/hummingbird-5.jpg	hummingbird
Birding	assets/img/RDP0362.jpg	assets/img/projects/birding/hummingbird-6.jpg	hummingbird
Birding	assets/img/RDP1334.jpg	assets/img/projects/birding/bushtit.jpg	bushtit
Birding	assets/img/RDP0548.jpg	assets/img/projects/birding/burrowing-owl.jpg	burrowing owl
Birding	assets/img/RDP0560.jpg	assets/img/projects/birding/burrowing-owl-2.jpg	burrowing owl
Birding	assets/img/RDP0014.jpg	assets/img/projects/birding/great-blue-heron.jpg	great blue heron
Birding	assets/img/RDP0412.jpg	assets/img/projects/birding/great-egret.jpg	great egret
Birding	assets/img/RDP0086.jpg	assets/img/projects/birding/song-sparrow.jpg	song sparrow
Birding	assets/img/RDP0070.jpg	assets/img/projects/birding/song-sparrow-2.jpg	song sparrow
Birding	assets/img/RDP0097.jpg	assets/img/projects/birding/black-pheobe.jpg	black pheobe
Birding	assets/img/RDP0123.jpg	assets/img/projects/birding/black-pheobe-2.jpg	black pheobe
Birding	assets/img/RDP0265.jpg	assets/img/projects/birding/oriental-magpie.jpg	oriental magpie
Birding	assets/img/RDP0282.jpg	assets/img/projects/birding/oriental-magpie-2.jpg	oriental magpie
Birding	assets/img/RDP0434.jpg	assets/img/projects/birding/cedar-waxwing.jpg	cedar waxwing
Birding	assets/img/RDP0892.jpg	assets/img/projects/birding/oak-titmouse.jpg	oak titmouse
Birding	assets/img/RDP0663.jpg	assets/img/projects/birding/downy-woodpecker.jpg	downy woodpecker
Birding	assets/img/RDP0904.jpg	assets/img/projects/birding/blue-bird.jpg	blue bird
Birding	assets/img/RDP0454.jpg	assets/img/projects/birding/robin.jpg	robin
Birding	assets/img/RDP0485.jpg	assets/img/projects/birding/baby-common-moorhen.jpg	baby common moorhen
Birding	assets/img/RDP0491.jpg	assets/img/projects/birding/light-vented-bulbul.jpg	light-vented bulbul
Birding	assets/img/RDP0006.jpg	assets/img/projects/birding/yellowthroat.jpg	yellowthroat
Birding	assets/img/RDP0283.jpg	assets/img/projects/birding/goldfinch.jpg	goldfinch
Birding	assets/img/RDP0175.jpg	assets/img/projects/birding/red-winged-blackbird.jpg	red winged blackbird
Birding	assets/img/RDP0072.jpg	assets/img/projects/birding/cardinal.jpg	cardinal
Birding	assets/img/RDP0112.jpg	assets/img/projects/birding/house-wren.jpg	house wren
Birding	assets/img/RDP0053.jpg	assets/img/projects/birding/geese.jpg	geese
Birding	assets/img/RDP0104.jpg	assets/img/projects/birding/song-sparrow-3.jpg	song sparrow
Birding	assets/img/RDP0094.jpg	assets/img/projects/birding/ducks.jpg	ducks
Birding	assets/img/RDP0298.jpg	assets/img/projects/birding/oriole.jpg	oriole
Birding	assets/img/RDP0048.jpg	assets/img/projects/birding/sparrow.jpg	sparrow
Birding	assets/img/RDP0071.jpg	assets/img/projects/birding/white-throated-sparrow.jpg	White-throated sparrow
Birding	assets/img/RDP1943.jpg	assets/img/projects/birding/trumpeter-swans.jpg	Trumpeter Swans
Birding	assets/img/RDP1861.jpg	assets/img/projects/birding/common-grackle.jpg	Common Grackle
Birding	assets/img/RDP2078.jpg	assets/img/projects/birding/american-goldfinch.jpg	American goldfinch
Birding	assets/img/RDP2070.jpg	assets/img/projects/birding/rose-breasted-grosbeak.jpg	Rose-breasted Grosbeak
California	assets/img/RDP0209.jpg	assets/img/projects/california/early-spring.jpg	early spring
California	assets/img/RDP_0217.jpg	assets/img/projects/california/mccone-balcony.jpg	McCone balcony
California	assets/img/RDP_0249.jpg	assets/img/projects/california/sunset-view-from-clark-kerr-campus.jpg	Sunset view from Clark Kerr campus
California	assets/img/RDP0133.jpg	assets/img/projects/california/sunset-like-fire.jpg	Sunset like fire
California	assets/img/RDP0027.jpg	assets/img/projects/california/foggy-time.jpg	Foggy time
California	assets/img/RDP0366.jpg	assets/img/projects/california/foggy-time-2.jpg	Foggy time
California	assets/img/RDP0256.jpg	assets/img/projects/california/straberry-creek-tributary.jpg	Straberry Creek tributary
California	assets/img/RDP_0949.jpg	assets/img/projects/california/san-francisco-golden-gate-park-beach.jpg	San Francisco Golden Gate Park beach
California	assets/img/RDP_0858.jpg	assets/img/projects/california/san-francisco-golden-gate-park-beach-2.jpg	San Francisco Golden Gate Park beach
California	assets/img/RDP0169.jpg	assets/img/projects/california/fort-funston-beach.jpg	Fort Funston beach
California	assets/img/RDP0172.jpg	assets/img/projects/california/fort-funston-beach-2.jpg	Fort Funston beach
California	assets/img/RDP0363.jpg	assets/img/projects/california/mt-diablo-sunset-view.jpg	Mt. Diablo sunset view
California	assets/img/RDP0606.jpg	assets/img/projects/california/mt-diablo-sunset-view-2.jpg	Mt. Diablo sunset view
California	assets/img/RDP0843.jpg	assets/img/projects/california/late-spring.jpg	late spring
California	assets/img/RDP0320.jpg	assets/img/projects/california/sunset.jpg	sunset
California	assets/img/RDP1058.jpg	assets/img/projects/california/sunset-2.jpg	sunset
